"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"388","Sita N.","OPERA B.C.","OPE","8","6","55","3","0","5","0","0","3","0","3","6","50","7","1","8","3","1","1","","3","8","5","-3"
"389","Smallwood Jr T.","MANERBIO","MAN","4","4","139","86","17","28","61","12","35","34","16","23","70","25","","25","11","8","","","8","12","19","82"
"390","Soldati A.","P. MILANO","MIP","5","1","1","0","","","","","","","","","","","","","","","","","","","",""
"391","Soldati D.","P. MILANO","MIP","4","1","1","0","0","1","0","","","","","","","","","","","","","","","","","-1"
"392","Somaschini E.","B. 7 LAGHI","GAZ","29","28","748","168","54","112","48","7","30","23","39","75","52","83","34","117","30","26","2","1","30","69","67","191"
"393","Soresina G.","MILANO3 B.","MI3","23","23","491","76","30","66","45","0","2","0","16","28","57","74","25","99","14","11","2","21","13","71","40","123"
"394","Sorrentino M.","MILANO3 B.","MI3","8","6","19","0","","","","0","1","0","","","","2","","2","3","","","","","2","1","-3"
"395","Sovera B.","BERNAREGGIO","BER","10","6","23","6","3","5","60","","","","","","","1","","1","1","","","","","1","1","4"
"396","Sparascio L.","ARCISATE (*)","ARC (*)","12","11","113","15","4","16","25","2","11","18","1","1","100","8","2","10","7","2","4","","7","18","4","-12"
"397","Speronello D.","CREMONA","CRE","24","19","605","257","46","80","57","36","120","30","57","85","67","59","10","69","47","27","1","7","36","56","70","216"
"398","Speroni G.","PIZZIGHETTONE","PIZ","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"399","Spirolazzi D.","AGRATE CAN.","AGR","20","19","483","220","74","156","47","13","39","33","33","48","69","69","35","104","34","13","5","2","9","53","41","174"
"400","Squarcina N.","LISSONE (*)","LIS (*)","29","29","812","329","64","166","39","43","124","35","72","95","76","167","21","188","50","26","4","21","20","67","92","349"
"401","Stipcic D.","P. MILANO","MIP","12","12","340","153","46","107","43","8","37","22","37","44","84","80","15","95","36","14","1","","22","32","46","164"
"402","Strotz R.","VIGEVANO","VIG","29","29","705","302","133","227","59","0","4","0","36","61","59","99","58","157","42","23","11","23","27","69","54","341"
"403","Superti N.","V. LUMEZZANE","LUM","28","22","220","27","7","18","39","2","9","22","7","14","50","16","14","30","18","9","","","9","18","16","30"
"404","Syku A.","B. 7 LAGHI","GAZ","7","0","","0","","","","","","","","","","","","","","","","","","","",""
"405","Tafel M.","NERVIANESE","NER","2","0","","0","","","","","","","","","","","","","","","","","","","",""
"406","Tagliabue F.","R. SARONNO","SAR","9","6","71","15","3","21","14","0","1","0","9","10","90","11","6","17","8","3","","","4","16","10","5"
"407","Tagliabue M.","OLGINATE","OLG","34","34","774","380","121","220","55","22","79","28","72","111","65","116","60","176","64","22","11","11","37","78","108","386"
"408","Taini G.","NERVIANESE","NER","23","5","16","2","1","3","33","0","1","0","","","","","2","2","","2","","","","3","1","1"
"409","Tandoi N.","MILANO3 B.","MI3","36","36","948","336","115","244","47","22","87","25","40","61","66","118","42","160","64","41","9","1","58","79","74","303"
"410","Tava E.","O. PAVIA (*)","PVO (*)","16","14","133","41","7","21","33","7","25","28","6","6","100","10","9","19","8","9","1","1","4","16","6","23"
"411","Tavola D.","OLGINATE","OLG","19","18","315","66","10","43","23","11","39","28","13","18","72","30","6","36","16","16","4","1","14","42","20","25"
"412","Tedeschi L.","LISSONE (*)","LIS (*)","29","29","367","89","27","69","39","0","5","0","35","53","66","33","12","45","42","24","3","","36","37","48","95"
"413","Tedoldi M.","GARBAGNATE","GAR","27","27","485","130","28","79","35","18","71","25","20","31","65","42","15","57","37","15","5","","20","48","29","46"
"414","Terzaghi M.","B. 7 LAGHI","GAZ","28","28","898","465","77","182","42","57","228","25","140","205","68","152","36","188","73","30","3","5","27","89","182","391"
"415","Tessitore G.","VIGEVANO","VIG","12","12","374","168","18","42","43","36","107","34","24","26","92","41","4","45","19","9","1","","26","27","27","131"
"416","Tiengo F.","CIS. CISLAGO","CIS","28","19","170","36","3","9","33","10","30","33","","","","7","4","11","4","4","1","","11","5","3","29"
"417","Toffali D.","BERNAREGGIO","BER","22","22","424","157","52","122","43","4","21","19","41","58","71","55","17","72","30","12","5","5","8","56","60","119"
"418","Toia S.","GARBAGNATE","GAR","16","13","133","11","5","17","29","0","18","0","1","1","100","10","2","12","6","5","2","","2","23","1","-30"
"419","Tonella S.","GARBAGNATE","GAR","28","28","814","222","35","85","41","37","115","32","41","59","69","81","19","100","49","26","1","1","72","72","57","210"
"420","Tornari M.","CERMENATE (*)","CER (*)","26","26","568","178","34","102","33","26","77","34","32","40","80","49","8","57","42","20","5","","77","78","49","129"
"421","Torriani L.","VIGEVANO","VIG","28","23","192","37","12","24","50","1","2","50","10","20","50","24","29","53","13","4","3","","15","13","14","71"
"422","Tresso D.","R. SARONNO","SAR","4","0","","0","","","","","","","","","","","","","","","","","","","",""
